TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
210,"(26.140206474169137, 28.118728995595447)","(41.62643562671157, 59.16483281351831)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (91.03396531263826, 36.75146544159274), (73.63917558666796, 45.63136377276905), (71.68511477979521, 60.85493029954391), (35.36198657542728, 76.31), (57.3491489323605, 67.73401228842236), (17.418849467026774, 84.60224250126296), (16.778692821237744, 99.45628074370663), (16.740828999901073, 110.35565217133419), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87316551091208, 36.80050747788659), (7.128284855677124, 30.291389341392957)]"
211,"(24.432350828706326, 27.245043154618617)","(40.04794433508641, 58.59982569094238)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (76.29030851157617, 39.90147585976004), (73.09683965867018, 55.1015750786122), (43.80818658565464, 73.92706310128752), (63.291454026115126, 65.01625881943627), (19.902590934056676, 79.35878604324839), (16.81784654963395, 93.86467936629116), (16.75074249993565, 107.50198037566634), (13.535757654158578, 111.79915493208914), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.875648608771556, 36.800520100242274), (7.128284855677124, 30.291389341392957)]"
212,"(25.289539082714906, 28.65925848172368)","(40.38785515860773, 59.92607968442734)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (84.1481949393754, 37.00791632581788), (73.30544522070991, 47.87013831107104), (51.7988802094776, 70.27246526877734), (69.19191768349727, 62.31764181467655), (27.63843085255785, 76.49450987820602), (16.88416900647582, 88.22618784499724), (16.76804312359294, 102.52187228003243), (16.737031141926337, 111.44889271691899), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.875786914380726, 36.800520803292535), (7.128284855677124, 30.291389341392957)]"
213,"(26.705043312377434, 27.884742031325658)","(42.08188144078178, 58.45325068532779)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (93.08200118598684, 36.723512267707186), (76.49430597062721, 39.77821618133607), (59.69308673048593, 66.66199646603752), (72.86493081523601, 58.988740245036155), (35.44736080614498, 76.31), (17.539242474766777, 83.78624544880294), (16.79039592908881, 97.42982870959099), (16.741381086998306, 110.196729956916), (13.533632458155287, 112.41060418217909), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.875786914380726, 36.800520803292535), (7.128284855677124, 30.291389341392957)]"
214,"(25.18137272074668, 27.22817002296615)","(40.576658604348026, 58.2155476259081)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (83.87897083463504, 37.05023753925244), (65.00520771204503, 64.23246196763566), (73.10708286789311, 53.64874657049407), (42.796753616857465, 74.38964881781096), (21.108271809604567, 78.6126124979249), (16.82594262573814, 92.81320148225889), (16.75458303597212, 106.39645464516771), (13.533632458155287, 112.41060418217909), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.875786914380726, 36.800520803292535), (7.128284855677124, 30.291389341392957)]"
215,"(26.140979427857026, 28.500139150455187)","(40.892686741112826, 59.73977920128235)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (92.93320298556725, 36.72554318036077), (69.4416317885973, 62.20343337793645), (73.4302628042758, 47.03282035464982), (50.44766678860279, 70.8904518756553), (29.245799966370257, 76.31), (17.054774529488196, 87.06986152235777), (16.772335070649504, 101.28640466303636), (16.738238311658947, 111.10140028674613), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.875786914380726, 36.800520803292535), (7.128284855677124, 30.291389341392957)]"
216,"(25.12033083548487, 27.723578410671067)","(37.26565385370002, 57.78124406736816)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (72.97065103970283, 58.35264179789991), (76.02965114737873, 40.24899941355632), (57.777645343575074, 67.53803655347559), (36.830740974456205, 76.31), (19.693856039561428, 79.70393102230413), (16.79930588107833, 96.27264869495227), (16.747564628919466, 108.416753246754), (13.533899675798283, 112.3337218488939), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (8.609314364505941, 30.329482237603454), (-1.1864607911172795, 30.302921582234557)]"
217,"(25.368093933566474, 28.907460483007917)","(38.01644005523516, 59.1101038978654)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (73.11576502959184, 52.41732663622304), (83.08281096778634, 37.1753914577154), (64.40971495716252, 64.50481461106337), (45.40652657628589, 73.19605148447863), (27.78993801010691, 76.47286599855616), (16.852082029892802, 89.41834636767209), (16.76416961772255, 103.63688861272352), (16.733899675798284, 112.35030760949417), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (11.714527192424294, 30.585265831336432), (0.6903862129201901, 30.300318465724104)]"
218,"(26.03350268457003, 27.812541890071095)","(39.91134517205156, 57.805455593233106)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (73.5065967289046, 46.52074694359837), (90.59726702589992, 36.757425836771155), (69.78801478908075, 62.04501276736379), (53.41609789387515, 69.53281981090672), (36.451097826750825, 76.31), (17.449393723795456, 84.39522031649744), (16.792240181050293, 97.19030648609343), (16.738750397767426, 110.95399264266294), (13.53276632187353, 112.65980396381579), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (16.66630316966142, 31.412232451061367), (3.0471204659303277, 30.297049763570136)]"
219,"(23.959099609738196, 27.17783500535386)","(39.06690402398474, 57.43539165752121)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (77.0491115094822, 39.44299067105165), (72.99623207872807, 58.15083582336742), (60.54899580521331, 66.27054065549326), (43.65353081140456, 73.99779596678927), (20.950268333806495, 78.70800289421788), (16.823431045809514, 93.13939292548923), (16.750498561290033, 107.57219985722656), (13.53276632187353, 112.65980396381579), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (22.970252298669266, 33.00447055045822), (6.754834772991624, 30.291907302672687)]"
220,"(24.54758839136544, 28.661708527889502)","(39.882959324492234, 59.071961118136464)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (85.05233768165316, 36.86578782655831), (73.11228337109276, 52.91114186667764), (66.01239010939399, 63.77182027874396), (51.64418400122357, 70.34321662704455), (28.977674871273635, 76.31), (16.845261470021164, 90.30416658100114), (16.768929702895175, 102.26666409517455), (16.73276632187353, 112.67655163211958), (13.52772591857001, 114.11), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (31.71407771439016, 33.55384733094014), (7.030300411016078, 30.29152524214838)]"
221,"(25.73473542654337, 27.937116797680382)","(41.55978098697721, 58.05529301457607)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (94.15368983649869, 36.708885034078726), (73.5156367421732, 46.460103521254794), (70.74280852786444, 61.53313521000138), (57.290078693133445, 67.7610284622876), (36.97232740186621, 76.31), (16.850986104954252, 89.56067961906646), (16.785353712023856, 98.08468665090203), (16.738826386944424, 110.9321186152843), (13.535590919676945, 111.84712682437616), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (37.2817152175662, 33.58214935722005), (7.08735128040112, 30.291446114728984)]"
222,"(23.903335329430988, 27.821528338751406)","(39.85463620870245, 58.03195618581747)","[(7.028983687982013, 76.38664575144908), (7.008905708988208, 73.18664626915195), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (77.18403551804178, 39.36146666587977), (73.08498652458347, 56.78274459657841), (61.87939648542327, 65.66207289647797), (44.083697643140496, 73.8010562537069), (16.851928423279688, 89.43829602655063), (16.791256536565264, 97.3180573135863), (16.75320073792729, 106.79435901093028), (13.53669767296307, 111.52869809319678), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (39.71373147951823, 33.594512049316954), (7.117902027462548, 30.291403741986876)]"
223,"(25.68057562591301, 27.129747588905115)","(39.203861022049644, 58.05354512910196)","[(1.0600000000000005, 73.22614107883818), (9.485005304370702, 76.37512677649254), (8.902066548426223, 73.17701507369074), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (84.94302149992129, 36.882971999065404), (73.1169595990345, 52.24789687027235), (67.42514191712377, 63.12568867397171), (51.0999222697286, 70.59213841504926), (16.85224802119871, 89.39678824681708), (16.79281466113913, 97.11569588455558), (16.759259725297195, 105.05023621802258), (13.53669767296307, 111.52869809319678), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (40.77448725829191, 33.59990419956206), (7.126230444026565, 30.291392190784983)]"
224,"(27.335141085531856, 26.669584205203428)","(38.526738609409726, 58.55271413522421)","[(1.279934597763102, 76.42481371221402), (1.0600000000000005, 73.22614107883818), (14.325678633562692, 76.3589139950072), (8.902066548426223, 73.17701507369074), (63.37899144184759, 36.91491156338697), (63.39891925098222, 33.714911196418434), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (92.96666099284592, 36.725086519660884), (73.1318397908874, 50.13738965913839), (71.52160732881428, 61.03516010346606), (57.73996337006369, 67.5552706591994), (16.852292295869336, 89.39103807396984), (16.793720816343225, 96.99800897742374), (16.760488502020863, 104.69652406113744), (13.53669767296307, 111.52869809319678), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (40.85972649796383, 33.600337497024384), (7.127468230609328, 30.291390474021345)]"
225,"(25.160897808378348, 26.917015632883217)","(36.7797059505569, 59.49508776960235)","[(1.279934597763102, 76.42481371221402), (1.3839014734247712, 73.22399069561213), (21.592135866593935, 76.33457657843725), (10.388830384032829, 76.37209961115396), (64.87903369315346, 36.91785105108212), (65.30843873703748, 33.71607491664266), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (73.13269776436668, 50.0157004206595), (73.04148602472152, 57.793832471641316), (63.201531125947646, 65.05738566668084), (16.852292295869336, 89.39103807396984), (16.794466242111568, 96.90119680576038), (16.761166910183718, 104.50123942568693), (13.53669767296307, 111.52869809319678), (55.89787118314341, 33.67678104526873), (55.87794566415134, 36.876781423878775), (40.87591676913564, 36.800521463384484), (40.88813634788139, 33.60048191309287), (7.127915048446112, 30.291389854301737)]"
226,"(25.25594627542371, 26.891080333511983)","(38.36205864828994, 59.381190661121124)","[(2.243019704493652, 76.41841978619422), (4.303574221530281, 73.20460697612263), (31.436572451305157, 76.31), (14.19443055178825, 76.35935358188397), (68.94760462665676, 36.900330889167506), (69.06113542479814, 33.6998606726725), (48.37691698987631, 36.83865137131256), (48.396804220334744, 33.638650798070046), (73.13282754177834, 49.997293657772786), (73.0624382914958, 57.628542367088684), (67.37802188140623, 63.14723934134904), (16.852292295869336, 89.39103807396984), (16.794523173644617, 96.89380282290533), (16.76148136676401, 104.41072085293183), (13.53669767296307, 111.52869809319678), (57.16889043307394, 33.68324202987725), (56.69636401407061, 36.880941697897), (40.87591676913564, 36.800521463384484), (40.89350861107926, 33.60050922197103), (7.128152723734703, 30.291389524655013)]"
227,"(26.010373939138532, 26.86184212459371)","(40.188092184131015, 59.32059862925857)","[(2.243019704493652, 76.41841978619422), (5.278802525191343, 73.19813243136804), (40.38623770812247, 75.49211458987237), (20.137292951243495, 76.33944925805804), (75.43200887007622, 36.87240761730589), (75.26186579600243, 33.6730692308382), (48.83639101509221, 36.84098702012756), (49.197121680821915, 33.64271905965964), (73.13289783201932, 49.98732415859263), (73.0758000960659, 57.52313257548006), (67.85122027046592, 62.93081885416517), (16.852292295869336, 89.39103807396984), (16.79453345655171, 96.89246733034669), (16.76154304387443, 104.39296665614644), (13.53669767296307, 111.52869809319678), (59.99793720834374, 33.69762295107319), (60.08655038135921, 36.89817506547994), (40.87591676913564, 36.800521463384484), (40.89543601333343, 33.6005190195538), (7.128278391594834, 30.291389350358397)]"
