TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
1519,"(2.5085485429124836, 27.07860825165793)","(16.26490450765459, 85.30460772771413)"
1520,"(5.015881777618206, 28.709975614880687)","(17.236647592336332, 84.0315418886395)"
1521,"(8.529254707054577, 30.319513393084975)","(18.732045213184204, 82.42073283337768)"
1522,"(12.636407721089459, 31.601441772328336)","(21.403651106486482, 80.68173335429948)"
1523,"(17.615502389487332, 32.27063690085312)","(24.29528688213552, 78.38835186030076)"
1528,"(16.86674217619936, 29.37019039347676)","(22.660027250503116, 78.19112926157898)"
1529,"(17.514500547949478, 28.934375164094316)","(22.910355297499315, 77.01810845734708)"
1530,"(17.76063456088956, 28.10018193341444)","(23.01222680479272, 75.36928909926088)"
1531,"(16.652501188230993, 29.12917404116334)","(22.254555725571535, 78.7053211772508)"
1532,"(16.65491620393763, 28.649379669930706)","(22.26013722475257, 77.53129597296255)"
1533,"(16.654475575737994, 28.220739476266164)","(22.262573724449545, 76.79828763292612)"
1534,"(16.65397196696041, 27.86141735653809)","(22.26385070824489, 76.46136234072124)"
1535,"(16.65044035911083, 28.027723938266305)","(22.27355197327968, 76.21604487190383)"
1536,"(15.664030573557694, 29.835003732632977)","(21.72254738736973, 79.80306682488875)"
1537,"(15.593252114957512, 30.617494258861978)","(22.088896402482778, 78.54582743044153)"
1538,"(15.72425312867291, 31.64160653438404)","(22.969682734254462, 77.37720526280165)"
1539,"(16.209868185581488, 32.723435598316776)","(24.060850172221613, 76.19655834793451)"
1540,"(17.397758385880216, 33.730594713673014)","(25.8705964199886, 75.11218265498457)"
1541,"(18.442858285882966, 34.30826818507805)","(27.374077048237172, 74.46950964551996)"
1542,"(19.07555915995933, 35.46118885096492)","(28.843852442289645, 73.40534883084995)"
1543,"(20.189886812296738, 35.798908080956615)","(31.151478132103342, 73.09964405180715)"
1558,"(20.012528143554288, 32.67824975585331)","(35.09789748026385, 62.94208115972153)"
1559,"(19.774026670077543, 31.069029561006566)","(37.0420549528121, 61.337820238200685)"
